OBJECTID,Unit_Code,Tax_Year,District_Name,GlobalID,Shape__Area,Shape__Length
5,109,2017,LIMESTONE-WALTERS PUBLIC WTR (Dist # 109),1b019c4f-23a2-422b-8a52-8482c2c0a563,418086989.132813,153769.126372866
6,005,2017,PLEASANT VALLEY PUBLIC WTR (Dist # 005),ac1a97cd-14ef-49ff-bb8f-a058497afb6d,13809269.3405762,31699.9796884529
7,008,2017,ROUTE 150 WATER DISTRICT (Dist # 008),76de77b4-258b-49bf-a92a-0d9b93c63f9a,174137838.49585,117390.707070411
8,108,2017,T-L RURAL WATER (Dist # 108),1a4c0b3c-e967-42d9-9966-b0ce91eb5cf6,1607020527.97534,327786.727905714
