OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
5,102,2017,CHILLICOTHE PARK (Dist # 102),http://www.chillicotheparkdistrict.org,5f9ee51b-8f63-4131-8171-410aec3aa2b2,1004566005.43018,399496.520753608
6,461,2017,HANNA CITY PARK DISTRICT (Dist # 461),,209ee3d2-38fb-4766-808d-0a4ce8fec57d,35259767.5090332,55366.2170465468
7,206,2017,HOLLIS TWP PKD (Dist # 206),http://www.hollispark.org,e14c48be-8e2b-4a08-9870-25be7e173354,679625585.570557,114760.136459607
8,310,2017,PLEASURE DRIVEWY PKD (Dist # 310),http://www.peoriaparks.org,3930e780-ebea-43d4-86d8-645aeedddf91,1710087314.27246,691374.925142251
