OBJECTID,Neighborhoods,GlobalID,Shape__Area,Shape__Length
60,641,3d6a7dbe-30f4-48e7-bdac-d273779ccdd3,7354062.56469727,62818.8415990094
61,643,7dd9dbea-106f-4fca-a8b8-633ebac4e270,5748527.26049805,50545.8984283265
62,649,6ce6dc56-fe47-4e0f-b868-f2e9ba85dc22,2554953.84985352,22903.670638739
63,653,fc8a77b0-6590-4cee-9dbf-4a0699d596ae,4055866.90454102,65450.8104253687
64,654,6ffb4ded-47d3-4d91-9f25-808b597f7ead,9881544.98999023,62642.575878576
65,655,464348de-d5db-4a36-95bf-e598a910ed86,21186538.2258301,61718.8718652834
66,656,135adb14-7039-41e8-a363-b36d6c2ec544,4234067.46850586,18326.6521149947
67,657,ba24ba3f-251d-4f45-bddc-c60d793e6f75,9073887.92578125,45402.0570612862
68,658,5bdcbfa7-194f-45bd-a3ef-70353987ad76,1809254.38061523,10755.7564168997
69,660,303f73e4-588b-4eaa-afb2-ef0b215079f1,7182938.10083008,36221.3811210411
70,661,1d33810e-a561-42f3-9535-13374a89fd34,13914645.828125,92150.3046995303
71,662,c268b18e-1af3-486f-989b-f6f4a9e55117,7200338.71582031,46615.049378232
72,663,1c347392-27e4-426a-beb0-0735a9ff86b0,4374196.7019043,45472.7899284707
73,664,caf7ec49-3ea8-4072-887a-98e110191e4e,2594986.68237305,27327.4507084375
74,665,c63461eb-4c43-465f-896e-7d12aaaa402b,785298.378662109,12418.9190383481
75,1000,d0f49c0c-ad12-41d5-8cb6-34e44b2fe6dd,366712292.898682,583301.055098757
76,1001,ddc15bec-fdae-4972-be66-173ecf8acf84,1107932.39892578,8168.72521573107
77,1002,904ab83f-7ed3-4024-869b-9eda06c768f3,3161099.8371582,12328.3732395843
78,2000,f972c62a-7dae-4dbc-aa5a-742e4581d5ee,330827541.669922,694976.654315377
79,2050,66889c89-5a42-467b-a877-fbed90d956a3,2384200.40917969,8135.30964684001
80,2100,b1347a95-2d7f-4d75-a3f2-22ca3f3a887c,3310773.49389648,17450.6404979007
81,2150,f76305ae-5013-408d-aedf-7e9a0dcb8d44,4040699.10400391,17621.454805286
82,2200,4be08397-be64-48f1-88bb-0ff072d4bfb9,1812761.84301758,12796.5285558656
83,3000,2e41cef4-84c0-4557-8fd9-182df68a81bf,308428465.953369,628197.485644114
84,3100,152ab067-869f-49af-ac22-8533b7068ccd,1117433.47729492,7503.98927456357
85,3150,96fefb6a-d3c8-4a9d-9808-45438093aaba,1435588.7644043,13095.8070352094
86,3200,e99e665f-7ac4-4ecd-84bb-c5686d9e0891,2599268.87792969,11172.1039646167
87,3250,12414ea2-ec4a-4480-b8dc-ac8df1ddadfb,473874.814941406,2993.96647756074
88,4000,97ea038e-909f-49f9-8ad5-9f56d95d9300,387713142.03833,793935.143186905
89,4150,eb8bab55-1c4d-4378-9a96-b81780a9e5be,21080548.3635254,48469.9444337577
90,4250,0a8077c2-d19d-4593-a963-54a3bbf31fa4,15020301.4743652,49782.4318650649
91,4300,a4a86faa-ba6f-4fd6-90af-c2c06cf0c54a,1547359.71606445,11990.4619015495
92,5000,1c10b57f-8761-4af5-b417-7dc801eb7a14,127192166.603516,252236.639022723
93,5050,4ef9abb7-f94c-4c99-9557-e6f303eed321,6844779.70117188,13710.7077242513
94,5100,c6af94fa-1bdb-427b-b900-56ceada929ce,9786407.8293457,59267.1595180099
95,5150,4e24ad5c-afb2-4f53-88cb-d2c8910a2ac0,8026893.80786133,30031.4467810535
96,5151,6919d66e-57c6-430b-9abe-a8b494bec96b,544812.782958984,3611.99966661208
97,5152,2c901d16-a016-4749-bc55-b5c94854c64a,312576.425292969,3127.34776636373
98,5200,2d9ce2df-00b5-465a-9d52-4140687924c1,1657721.69824219,11282.7644357758
99,5250,322aaf5e-d983-4a64-9311-a7acf4b12c6f,3672540.74633789,11287.7224964822
100,5300,d2ef8e4c-f182-4c0d-b03c-04f52d413839,1418937.20947266,4873.75558865427
101,5350,930cfa41-4467-4ddc-94e1-ae0af58fe0c6,6215257.73950195,23588.1421713048
102,5400,443b81ec-f3df-4b0e-8f28-fcf2dcc3705f,2168193.76904297,7378.0613156871
103,5450,6105e2c0-395d-486b-b4ff-735536aafd8f,913104.153564453,4081.28139275499
104,5500,df5381f9-3826-45db-974f-e3a8299aa804,882174.998535156,4349.79615766038
105,5550,1bc97aca-19cb-418d-82b5-75efc012ca4c,1522344.68383789,9652.93581196634
106,5600,1982277f-e4ec-4ee5-b062-fa6ca9585bc3,1722725.34375,9082.51125036066
107,5650,f3474a5e-573f-4142-9efd-f24a96aee248,8578167.1706543,48721.5322287829
108,5700,02b52ffc-9b8a-4374-a465-84fa44ec6408,10685304.0769043,32742.9665392238
109,5701,d28e51f9-a471-4ae6-a45a-1f649d47fdcb,143332.298095703,2635.53190568091
110,5750,c849f966-8456-4d6e-9bd4-d7418cec6863,6079114.41552734,16722.1505092647
111,5850,26131d5b-9c0e-4474-a573-e99ae59ae94b,49468.6589355469,2578.3064202405
112,5900,ce32b5b6-06ae-4728-ba03-e1f2b891d469,1361378.015625,7589.51447164933
113,5901,1a3f9eac-9627-4a4a-93f1-4937d7482e56,1863123.69555664,10469.6612648879
114,5950,22310a2d-10d8-4c67-ad70-ce46ca93d5c1,1566074.39697266,6001.54932500993
115,6000,28c620bd-810f-444f-b8a9-f774cfa04b8e,336443125.481201,678819.644952271
116,6050,569ecaa8-e21e-4380-b27c-b45c88094bfc,7048313.51489258,33164.1995968651
117,6051,6752d9f7-569b-450e-b4a4-4a43a4171375,833372.433837891,5861.95986690108
118,7000,3014b96f-1eed-415e-b5fc-5ebf40723ea1,395017755.986816,620913.019310545
119,7100,21aaf1fd-3855-46f0-8d41-bead909acb23,108024246.761719,128584.030545675
120,7300,b5f8ec0c-ee56-4a07-a6d1-6049053b627c,10873025.2321777,36481.5356183326
121,8000,af5e7447-2b89-4791-a84c-e878e7d1c4ea,374183349.422363,839978.700150019
122,8050,54855b06-7e0b-4c90-a674-e69ff38e4a49,3806040.390625,23843.9086897131
123,8100,701c2201-5a5e-4f80-807b-9b81d920beac,3578483.11425781,10089.282454149
124,8150,d2db2a19-c8c5-49b1-8f99-975c66fa926f,1773173.85302734,9801.56099120803
125,8200,5ad8adf2-dca2-4d11-8e2b-0b3500327213,6396773.11230469,20284.681018306
126,8250,21bffe9b-1277-43aa-8077-d240f2ed94ad,3577929.1081543,9207.50282559691
127,8251,45c4300a-3adf-4a62-b653-990ded769cba,2375317.0949707,9211.43893619982
128,8260,9fa5dec5-8486-4674-b638-1588b568f470,1331705.98461914,6647.36707231001
129,8270,d1ca4453-48b9-4ce8-a7fd-4f97612b1b83,3747472.17382813,21434.1185661343
130,8280,970f0dcd-136d-44b8-af92-b6466b3cf613,2713053.77563477,7343.83185856154
131,8290,4675b732-f548-4ce0-ba24-22909d27f10c,11672466.9553223,35898.8057934209
132,8300,f8a1756b-a2b1-4ad0-b7f1-cf4cbe4b638c,1146166.37280273,7084.25983141353
133,9000,dbcb6769-230a-4691-b23e-6e56dc70f855,151387268.372803,276949.217197546
134,9010,e10897a7-0c28-4d70-91ff-97639f628d62,5199206.28222656,17547.1176386016
135,9040,1e6ceeab-ea87-4af1-b7a0-124031cc6b8b,24470406.8837891,80072.9385162425
136,9050,057d8c8d-23a6-4630-8c4a-8e98e4e3f7c4,9506356.68359375,20109.6270224885
137,9110,e14b767b-9b31-4b6f-8b24-14d40a09aa7d,107167242.071289,212269.729204466
138,9130,310c3382-92f0-4462-a5e8-937659da3ef1,4441182.23803711,15472.8997784739
139,9140,fd07b3cb-c0b4-4e3f-ac0f-3a6c599b8062,10977197.7556152,23171.253308372
140,9150,78304144-c4ca-4043-9f3f-0ae356ae5f2d,14867167.3972168,32023.7104738474
141,9160,fca9bb42-22fe-40ad-bf2d-a0f08cd29c7b,5593073.18603516,14930.4942887162
142,9200,1e52a5e9-b149-4558-9145-c94f9a360d01,3684800.66040039,24265.5193563271
143,9250,bae6187d-e814-4d20-870b-099aa58dcb1c,1246443.88623047,8638.84812107381
144,9300,b38a955a-14b0-43c6-a38a-20935efa377a,5797118.7019043,19254.2422042559
145,9350,b05f4d7f-e470-41ff-9ba6-fd8c96c14229,3046258.15307617,14924.4823205492
146,9400,dc6ca175-a1b7-4d06-9d1a-3b4cf7003d40,5229704.20825195,29150.3772613904
147,9401,8221fd3f-7431-4eef-a72a-903fa539a830,12944747.3735352,45756.9522361761
148,9402,132c3106-78e9-4cfa-8b2e-2960b16990ca,3900961.64648438,23543.5760560716
149,9403,21858886-5bbd-4ccb-8081-fb0d1fff86c6,3125400.34472656,12194.9680210988
150,9404,d4a7729c-d692-4c5e-b316-16fd0f313448,2781993.31787109,22436.1107446752
151,9410,7a73bf9a-d188-48cf-95bb-858125a0780a,7636397.91650391,28026.1553437465
152,9992,2b2aaf1d-9afb-4322-8948-00cf64f61da9,26398.8842773438,671.451229135068
153,9999,94115659-0ee0-4eb3-b8dd-0af8104bf985,23149.6530761719,608.660108187182
154,11000,320bf8ef-e708-43ea-8f88-8da967106746,500305319.184082,687067.607893282
155,11050,16b9bd69-9a64-4e1c-9c6d-3cae7c9077b6,16465056.3293457,66658.3777303692
156,11051,759dca50-f686-4786-94f1-81f4b458ac9d,3234620.61767578,13552.7431008926
157,11052,1d8b1af2-8a09-4411-9ae5-abbaa27dc418,1431156.64233398,6191.01848720891
158,11100,a8227476-7bfb-4b6b-99c7-66e1c8c36515,443547.395751953,4098.86352805045
