OBJECTID,PRECINCTID,NAME,COUNTY,POLLINGID,LASTUPDATE,LASTEDITOR,GlobalID,Shape__Area,Shape__Length
111,100-93,PE39,Peoria County,55,,,928a07bc-80e0-4c80-afd6-1fa918c0902b,18666844.3920898,24842.8420736059
112,100-94,PE40,Peoria County,57,,,2193d28a-1bed-4294-b2af-bc04a08fa861,5101952.77856445,11149.6061179379
113,100-95,PE41,Peoria County,57,,,3c7b29cb-bd6a-4667-9e61-281f10b8511d,3789370.8894043,9696.38680756733
114,100-96,PE42,Peoria County,57,,,934d97a0-ab26-42a4-a399-67bf8481bc87,5460540.98095703,12894.7102811743
115,100-97,PE43,Peoria County,57,,,3cc9c752-c691-4133-9eae-c43693905ca8,6639654.42504883,10955.0515862178
116,100-98,PE44,Peoria County,59,,,8bb42ff9-d5d6-42bb-8029-920c8c3060b2,11012918.2602539,19620.4999930511
117,100-99,PE45,Peoria County,86,,,8bbc6a84-ae74-4ca4-952f-8f35f8b126f7,9434331.63720703,27414.2244807242
118,100-100,PE46,Peoria County,63,,,4319c2f9-4f61-4db2-9af5-6a6cb772446e,19283703.75,21224.9320031971
119,100-101,PE47,Peoria County,59,,,000d3eba-cac3-4190-85a5-09e2c09d27af,7105346.45556641,10664.7556721678
120,100-102,PE48,Peoria County,59,,,1ac1d45a-7def-4f69-9a76-9b00a27f286d,7218647.67260742,10715.5943526778
121,100-103,PE49,Peoria County,61,,,f480ebb2-c703-46a7-8582-05f93e523298,7052289.81762695,10523.2653346274
122,100-104,PE50,Peoria County,61,,,ca12172a-da8c-4b99-9098-480b88ad12de,11532300.7080078,22678.0007821934
123,100-105,PE51,Peoria County,61,,,b9359d09-9750-4b79-9e08-069f4b6faaa6,5870353.23388672,13413.4343088029
124,100-106,PE52,Peoria County,63,,,c6b10eda-e37d-41da-86a4-13a1947415a6,12262563.1977539,15931.8647337925
125,100-107,PE53,Peoria County,63,,,1f62dd59-12c3-41cc-9ad8-fba2ff242c83,15210043.3234863,17633.4218424725
126,100-108,PE54,Peoria County,64,,,649ee841-2d7c-4faa-bf1e-71a68711e1a6,8378738.83203125,12732.4501991046
127,100-109,PE55,Peoria County,64,,,634b533f-0f89-42ac-a4b4-3646d5d56202,13392484.7287598,19936.0152922239
128,100-110,PE56,Peoria County,63,,,2a80e15e-41c3-4d91-a3ae-67a5dd52554d,8197794.20043945,12953.5787617275
129,100-111,PE57,Peoria County,65,,,4963e890-d1e1-4743-96f9-eb22d8f834ab,21611124.8566895,22752.7157766717
130,100-112,PE58,Peoria County,66,,,321a6af8-0018-4669-86d9-2156aa4677e8,10092718.9694824,16075.0051849431
131,100-113,PE59,Peoria County,67,,,3fcbfaff-9a5c-4073-9272-94729099d606,7288313.42944336,12851.6481149393
132,100-114,PE60,Peoria County,66,,,144f4cd8-4f72-4e1d-817f-9572ba27fab7,8221106.70043945,13521.2830397195
133,100-115,PE61,Peoria County,66,,,b47913d2-f48a-4b78-97f3-887b515828b5,11082739.7468262,14220.1048684397
134,100-116,PE62,Peoria County,46,,,572b419c-c457-43d4-b193-e206494549d3,9485833.49072266,18811.6525065393
135,100-117,PE63,Peoria County,67,,,fac07bf3-a987-4dcf-b6a5-3ab46dba44ff,10323274.5878906,13456.6682959049
136,100-118,PE64,Peoria County,67,,,0af05b8f-7e8f-43e8-ad77-0108bf8112e1,6848813.57617188,14865.4276399362
137,100-119,PE65,Peoria County,67,,,ab821889-5b36-452f-bb44-8d56fb9e4b9b,7148005.46826172,13601.0201835509
138,100-120,PE66,Peoria County,69,,,fa36f28b-be7e-4953-96ab-4aaf77973693,13711544.0007324,15961.4321494593
139,100-121,PE67,Peoria County,70,,,deacda31-2755-4f34-a862-f7d38a637d23,6663508.48876953,12678.2476666262
140,100-122,PE68,Peoria County,70,,,ec52308f-e874-4098-a114-b0eaff570c44,10042393.3823242,22287.9817516561
141,100-123,PE69,Peoria County,70,,,056f06d2-fc2f-40cf-9084-607455da6f58,20594543.3996582,29401.5478094765
142,100-124,PE70,Peoria County,73,,,b6b01add-58bd-4e03-a4e6-698cb7b4d465,19311226.0275879,27175.9033327665
143,100-125,PE71,Peoria County,73,,,1c11542a-676a-419c-8324-e7ae7602ad28,12798476.1225586,18678.3157554239
144,100-126,PE72,Peoria County,70,,,559137df-74ef-46e7-a156-9132599a9898,10109270.4533691,14006.1567129587
