OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
9,086,2017,BRIMFIELD SAN DIST (Dist # 086),,3f1835dc-aab2-48ec-b07f-4d3311843fff,24864341.034668,41227.8337558433
10,110,2017,CHILLICOTHE SAN DIST (Dist # 110),,386c0c73-0ef4-4823-b0dd-80cdd2f43308,118062357.627197,71973.933230611
11,184,2017,GREATER PEO SAN DIST (Dist # 184),http://gpsd.dst.il.us,913b3471-33b0-4557-9f33-6753be0af4f8,1839424857.70435,595517.498830953
12,202,2017,HANNA CITY SAN DIST (Dist # 202),,f5276ff0-35ca-4c44-b751-fc9d864e1bc0,27949246.7626953,30682.9151543979
