OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
693,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2e423127-9a46-417f-bbc2-c6aa70016dc9,401.46240234375,86.0464424038647
694,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,4385d3f9-8104-4e2e-99b7-6c44a80a5b54,1245.79418945313,149.536262257454
695,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,957aeb0c-8f16-4ff9-946b-04aef354ea8f,1670.22216796875,171.868393950135
696,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,4dfa0c0a-3703-4397-9041-5afafa075d66,481.722900390625,127.367263398354
697,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,49bc888c-2e48-46b9-960a-b7c646a3c9bf,5090.74951171875,369.096949692798
698,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,207471cc-4cbc-45f6-962c-9328baeef1d8,9013.47705078125,649.625776988552
699,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,4067339e-4926-4aef-8dac-1e7b0dd0d990,1762.3955078125,195.506443396589
700,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,fc80eda2-3a57-43b6-9f06-7a5910c281b5,5652.64184570313,377.12644055434
701,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,50f74d15-dfe1-4a95-b4fe-0b27d8842a5e,1814.06762695313,202.108029327307
702,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,241d7bd4-4d4c-402a-9ef3-41431f669331,540.54052734375,98.8017587244271
703,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,27369c03-9945-4b4f-96d3-2607f5e86faa,555.56884765625,95.9514063674802
704,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,55ef0bc5-2b6a-4e57-8cf4-f97476c36c31,319.865966796875,74.6953020104651
705,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,30e635aa-3d72-48c6-9cef-1564351840e1,16514.0185546875,899.614500732957
706,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,eed44ec3-67b5-4da5-9c02-355bd0a8b8ca,286.057373046875,69.4271940314813
707,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,06a87e06-4478-4954-9ce2-7d09b7975192,4326.35546875,307.906630333373
708,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,a46c1063-0698-4a9a-add8-deb18567ee3d,5273.67456054688,423.002468720095
709,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,ff36e687-ebf0-4acb-8104-55fcad2c1a8a,1928.3359375,204.330323282446
710,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,cf23669f-e86c-403f-8823-5c3c1ab97c5c,547.290771484375,100.748794926133
711,Bridge Outline Features,Updated,,2012-11-02T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,024fd122-1019-4153-b9c9-fd88d6b15dac,1761.97094726563,180.371082847716
