OBJECTID,Type,Status,SHAPE_Leng,Shape__Area,Shape__Length
92,Woodland Deciduous Vegetation Area,New,597.528284653,7121.60522460938,597.528284654833
93,Woodland Deciduous Vegetation Area,New,619.495896934,14442.6169433594,619.495896935587
94,Woodland Deciduous Vegetation Area,New,208.832935742,1465.84033203125,208.832935741033
95,Woodland Deciduous Vegetation Area,New,251.942668705,3312.20141601563,251.942668704177
96,Woodland Deciduous Vegetation Area,New,964.201865877,31478.2529296875,964.201865879112
97,Woodland Deciduous Vegetation Area,New,4019.02720402,214661.893066406,4019.02720402313
98,Woodland Deciduous Vegetation Area,New,3588.79294736,137119.1484375,3588.79294736788
99,Woodland Deciduous Vegetation Area,New,1107.82108207,16005.7482910156,1107.82108206813
100,Woodland Deciduous Vegetation Area,New,593.394165887,7900.06591796875,593.394165888254
101,Woodland Coniferous Vegetation Area,New,200.672710516,1466.77783203125,200.672710515493
102,Woodland Deciduous Vegetation Area,New,281.492587166,4344.96875,281.492587168477
103,Woodland Deciduous Vegetation Area,New,535.357021101,8059.80078125,535.357021098671
104,Woodland Coniferous Vegetation Area,New,234.837849735,2418.70532226563,234.837849736964
105,Woodland Deciduous Vegetation Area,New,16103.7019657,1020422.48510742,16103.7019657115
106,Woodland Deciduous Vegetation Area,New,551.766069824,18092.0258789063,551.766069830274
107,Woodland Deciduous Vegetation Area,New,306.987053496,3436.81274414063,306.987053498979
108,Woodland Deciduous Vegetation Area,New,367.989714434,6965.705078125,367.989714434192
109,Woodland Deciduous Vegetation Area,New,506.647211873,7846.77734375,506.647211872966
110,Woodland Deciduous Vegetation Area,New,541.784305525,7960.7626953125,541.784305529622
111,Woodland Coniferous Vegetation Area,New,178.581541835,1940.90014648438,178.581541829839
112,Woodland Deciduous Vegetation Area,New,1366.62942487,36934.3903808594,1366.62942487369
113,Woodland Deciduous Vegetation Area,New,479.197100689,5385.79858398438,479.197100684103
114,Woodland Deciduous Vegetation Area,New,458.39693388,6474.82446289063,458.396933880996
115,Woodland Deciduous Vegetation Area,New,130.346484804,874.309326171875,130.346484804484
116,Woodland Deciduous Vegetation Area,New,1859.78931176,42530.0451660156,1859.78931176057
117,Woodland Deciduous Vegetation Area,New,854.112081929,15944.1042480469,854.112081940116
118,Woodland Deciduous Vegetation Area,New,479.41506584,9288.84619140625,479.415065846179
119,Woodland Deciduous Vegetation Area,New,341.023263682,3926.97216796875,341.02326369001
120,Orchard,New,2327.16911593,338750.062011719,2327.16911592557
121,Woodland Coniferous Vegetation Area,New,446.7958031,5673.564453125,446.795803104424
122,Woodland Deciduous Vegetation Area,New,727.027992485,10957.2822265625,727.027992500199
123,Woodland Coniferous Vegetation Area,New,244.522410959,2650.6083984375,244.522410953141
124,Woodland Deciduous Vegetation Area,New,417.825567452,4478.63427734375,417.825567459703
125,Woodland Deciduous Vegetation Area,New,459.62273852,6582.96118164063,459.622738519615
126,Woodland Deciduous Vegetation Area,New,806.710737263,15568.6108398438,806.710737264313
127,Woodland Deciduous Vegetation Area,New,424.592747085,12938.1447753906,424.592747083535
128,Woodland Deciduous Vegetation Area,New,201.235096445,2116.4560546875,201.235096442786
129,Woodland Deciduous Vegetation Area,New,1745.22885948,51013.8620605469,1745.22885949053
130,Orchard,New,3900.02308639,847935.317626953,3900.02308638386
131,Woodland Deciduous Vegetation Area,New,1179.32983269,74540.7451171875,1179.32983268413
132,Woodland Deciduous Vegetation Area,New,1080.32171806,24700.6618652344,1080.32171806103
133,Woodland Deciduous Vegetation Area,New,5554.13957986,112345.954345703,5554.1395798516
134,Woodland Deciduous Vegetation Area,New,551.369146296,10609.66796875,551.369146293429
135,Orchard,New,2778.89275785,365590.103515625,2778.8927578661
136,Woodland Deciduous Vegetation Area,New,440.991663057,7624.07934570313,440.991663062528
137,Woodland Deciduous Vegetation Area,New,259.991748276,3011.21606445313,259.991748278345
138,Woodland Deciduous Vegetation Area,New,780.093744202,10033.6623535156,780.093744205335
139,Woodland Deciduous Vegetation Area,New,557.146921834,4011.63427734375,557.14692184146
140,Woodland Deciduous Vegetation Area,New,386.936770054,3694.04125976563,386.936770055049
141,Woodland Deciduous Vegetation Area,New,470.657139249,9740.15454101563,470.657139244658
142,Woodland Deciduous Vegetation Area,New,210.862450198,2047.67895507813,210.86245019908
143,Woodland Deciduous Vegetation Area,New,1329.78192734,67044.8942871094,1329.78192734084
144,Woodland Deciduous Vegetation Area,New,434.462905952,4445.7861328125,434.4629059567
145,Woodland Deciduous Vegetation Area,New,952.660661981,32328.8857421875,952.66066198937
146,Orchard,New,5704.79512426,761032.142822266,5704.79512427154
147,Woodland Deciduous Vegetation Area,New,413.90064219,5117.18383789063,413.900642185944
148,Woodland Deciduous Vegetation Area,New,2574.00461931,83596.6323242188,2574.00461930725
149,Woodland Deciduous Vegetation Area,New,346.879982165,5725.81689453125,346.879982162875
150,Woodland Deciduous Vegetation Area,New,277.164246525,2650.0859375,277.164246525445
151,Woodland Deciduous Vegetation Area,New,333.128411603,3916.19067382813,333.128411600255
152,Woodland Deciduous Vegetation Area,New,372.428549231,6607.14697265625,372.428549235058
153,Woodland Deciduous Vegetation Area,New,217.978190208,2631.19287109375,217.978190208002
154,Woodland Deciduous Vegetation Area,New,3999.14423931,207132.564941406,3999.14423931322
155,Woodland Deciduous Vegetation Area,New,1332.53801179,8307.49633789063,1332.53801178725
156,Woodland Deciduous Vegetation Area,New,4932.10215987,751369.979003906,4932.10215988233
157,Woodland Deciduous Vegetation Area,New,763.234644273,19372.1076660156,763.234644254278
158,Woodland Deciduous Vegetation Area,New,301.806254663,5039.62231445313,301.806254669605
159,Woodland Deciduous Vegetation Area,New,461.619881366,4713.470703125,461.619881366823
160,Woodland Deciduous Vegetation Area,New,215.545576579,1108.40795898438,215.545576579138
161,Woodland Deciduous Vegetation Area,New,528.579197286,6615.13012695313,528.579197291164
162,Woodland Deciduous Vegetation Area,New,322.967866946,6065.78100585938,322.967866955492
163,Woodland Deciduous Vegetation Area,New,902.028882465,33656.0598144531,902.028882460461
164,Woodland Deciduous Vegetation Area,New,103.914469053,464.817138671875,103.914469051665
165,Woodland Deciduous Vegetation Area,New,459.170563472,5133.95434570313,459.170563484038
166,Woodland Deciduous Vegetation Area,New,283.719531554,1781.00854492188,283.719531558704
167,Woodland Deciduous Vegetation Area,New,485.829401708,6527.19946289063,485.829401700029
168,Woodland Deciduous Vegetation Area,New,84.7006519334,301.044921875,84.7006519352705
169,Woodland Deciduous Vegetation Area,New,510.505636115,7076.005859375,510.505636119234
170,Woodland Deciduous Vegetation Area,New,286.777462871,2846.8642578125,286.777462861658
171,Woodland Deciduous Vegetation Area,New,338.257563382,3902.57983398438,338.257563383832
172,Woodland Deciduous Vegetation Area,New,187.371733157,1325.88427734375,187.371733156537
173,Woodland Deciduous Vegetation Area,New,216.723986428,1266.71362304688,216.723986434571
174,Woodland Deciduous Vegetation Area,New,207.054372883,2425.37329101563,207.054372878974
175,Woodland Deciduous Vegetation Area,New,553.774073091,5131.61791992188,553.774073085776
176,Woodland Deciduous Vegetation Area,New,548.26008713,7994.8125,548.260087135466
177,Woodland Deciduous Vegetation Area,New,111.839462515,659.5517578125,111.839462509471
178,Woodland Deciduous Vegetation Area,New,752.60707247,5142.18969726563,752.607072473346
179,Woodland Deciduous Vegetation Area,New,852.847823132,14636.6726074219,852.847823128488
180,Woodland Deciduous Vegetation Area,New,309.484390106,2342.94213867188,309.484390105368
181,Woodland Deciduous Vegetation Area,New,584.761604083,7602.22827148438,584.761604077418
182,Woodland Deciduous Vegetation Area,New,371.369915322,6085.9892578125,371.369915323214
183,Woodland Deciduous Vegetation Area,New,525.337236348,6492.46655273438,525.337236336511
184,Woodland Deciduous Vegetation Area,New,13070.2877227,2540660.77270508,13070.2877226718
185,Woodland Deciduous Vegetation Area,New,417.740523491,5796.14282226563,417.740523487893
186,Woodland Deciduous Vegetation Area,New,313.310109865,2277.71020507813,313.310109866653
187,Woodland Deciduous Vegetation Area,New,2470.5852972,102969.8671875,2470.58529720611
188,Woodland Deciduous Vegetation Area,New,511.21529923,10573.7875976563,511.215299220311
189,Woodland Deciduous Vegetation Area,New,550.128974985,11158.0520019531,550.128974986429
190,Woodland Deciduous Vegetation Area,New,897.937829124,16779.1301269531,897.937829126834
191,Woodland Deciduous Vegetation Area,New,406.180333203,6360.82495117188,406.180333199844
192,Woodland Deciduous Vegetation Area,New,452.948087845,5683.0751953125,452.948087850166
193,Woodland Deciduous Vegetation Area,New,179.509421099,2009.62670898438,179.509421098758
194,Woodland Deciduous Vegetation Area,New,1324.39629292,18847.7565917969,1324.39629293201
195,Woodland Deciduous Vegetation Area,New,720.299485276,6662.98364257813,720.299485276622
196,Woodland Deciduous Vegetation Area,New,5564.85153251,550008.266601563,5564.85153250147
197,Woodland Deciduous Vegetation Area,New,1264.40655171,20186.5590820313,1264.40655170374
198,Woodland Deciduous Vegetation Area,New,160.044401508,1983.49560546875,160.044401510778
199,Woodland Deciduous Vegetation Area,New,331.894990036,4713.1982421875,331.894990037613
200,Woodland Deciduous Vegetation Area,New,323.991972018,4052.10083007813,323.99197201768
201,Woodland Deciduous Vegetation Area,New,3778.56759003,41783.0363769531,3778.56759003459
202,Woodland Deciduous Vegetation Area,New,676.824769132,8975.25830078125,676.82476913316
203,Woodland Deciduous Vegetation Area,New,713.301970613,9751.95483398438,713.301970612947
204,Woodland Deciduous Vegetation Area,New,488.132277224,11447.8188476563,488.132277224824
205,Woodland Deciduous Vegetation Area,New,516.995086838,8132.66455078125,516.995086839462
206,Woodland Deciduous Vegetation Area,New,1480.32016109,35754.30859375,1480.32016109702
207,Woodland Deciduous Vegetation Area,New,305.804613737,4897.14575195313,305.804613739241
208,Woodland Deciduous Vegetation Area,New,647.4543185,13124.0832519531,647.454318498142
209,Woodland Deciduous Vegetation Area,New,3852.01545797,460602.178955078,3852.01545797347
210,Woodland Deciduous Vegetation Area,New,553.014301404,12653.3151855469,553.0143014053
211,Woodland Deciduous Vegetation Area,New,509.110500465,7752.54248046875,509.110500463893
212,Woodland Deciduous Vegetation Area,New,546.34481185,4273.97094726563,546.344811846655
213,Woodland Deciduous Vegetation Area,New,1028.71794587,21943.0407714844,1028.71794587858
214,Woodland Deciduous Vegetation Area,New,684.246129047,11237.6362304688,684.246129051834
215,Woodland Deciduous Vegetation Area,New,326.423179864,5444.8662109375,326.423179858505
216,Woodland Deciduous Vegetation Area,New,914.580779868,28853.2329101563,914.580779861294
217,Woodland Deciduous Vegetation Area,New,1482.82400423,20924.9165039063,1482.82400422738
