OBJECTID,Type,Shape_Leng,Shape__Area,Shape__Length
92,Obscure Area Outlines,897.709421543,32744.3256835938,897.709421549749
93,Obscure Area Outlines,2029.72690262,121650.418701172,2029.72690262116
94,Obscure Area Outlines,919.091326328,48063.5915527344,919.091326331203
95,Obscure Area Outlines,2012.29712699,140248.801513672,2012.29712698585
96,Obscure Area Outlines,3407.19757047,166643.192138672,3407.19757046279
97,Obscure Area Outlines,630.19111715,14400.1142578125,630.191117147574
98,Obscure Area Outlines,971.847157351,35400.2629394531,971.847157350226
99,Obscure Area Outlines,911.991721419,31967.513671875,911.991721419217
100,Obscure Area Outlines,1233.23945932,54485.5107421875,1233.23945932556
101,Obscure Area Outlines,1777.69169181,172563.028808594,1777.69169180971
102,Obscure Area Outlines,5832.08886775,1433064.80029297,5832.08886774496
103,Obscure Area Outlines,4174.18118338,312182.572509766,4174.18118337288
104,Obscure Area Outlines,1599.95407252,93165.7424316406,1599.95407252583
105,Obscure Area Outlines,1688.31699756,77955.990234375,1688.31699755029
106,Obscure Area Outlines,2439.19187695,85842.1804199219,2439.19187695761
107,Obscure Area Outlines,1516.7620845,112941.044677734,1516.7620845078
108,Obscure Area Outlines,1485.51572111,98946.6574707031,1485.51572110966
109,Obscure Area Outlines,2305.1017496,196820.378417969,2305.10174960371
110,Obscure Area Outlines,668.515376945,28176.1281738281,668.515376947361
111,Obscure Area Outlines,1276.31866986,86845.541015625,1276.31866986195
112,Obscure Area Outlines,1449.601303,73045.2856445313,1449.60130300403
113,Obscure Area Outlines,959.787959366,27017.0751953125,959.787959372195
114,Obscure Area Outlines,336.447615251,7084.59912109375,336.447615252173
115,Obscure Area Outlines,411.730165655,8687.0615234375,411.730165646224
116,Obscure Area Outlines,158.818199365,1634.392578125,158.818199366134
117,Obscure Area Outlines,390.4059466,9740.69116210938,390.405946600337
118,Obscure Area Outlines,1513.97514251,41468.7885742188,1513.97514250575
119,Obscure Area Outlines,187.126522663,2101.79663085938,187.126522659317
