OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
151,1908701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1836542.59155273,5421.84663649888
152,1909701001,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,939892.475341797,4076.79349226086
153,1907701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7557217.0847168,11003.8662009242
154,1909701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1834934.63378906,5419.10978966604
155,1911701003,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7071656.57836914,10643.1553115685
156,1909701005,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3606802.37670898,8107.0896291907
157,1910701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3623109.63183594,8110.64102759276
158,1903701009,Mineral Right,15.5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,646422.520507813,4101.95605221095
159,2006701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3632922.30249023,8054.05080190063
160,1901701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1778360.58569336,5334.86019533332
161,1902701011,Mineral Right,73,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3302068.9543457,7996.39498351593
162,2005701005,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1767702.90307617,5318.87485376299
163,1906701007,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1914798.55786133,5540.60814878913
164,1903701003,Mineral Right,130,10,,,AANDREWS,2018-07-13T19:56:44.000Z,5717960.40625,9613.82700790937
165,2004701005,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7150814.45678711,10701.3888826173
166,2004701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3526192.48681641,7959.73218275655
167,2004701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3551529.62280273,7997.91208983265
168,1902701007,Mineral Right,19,10,,,AANDREWS,2018-07-13T19:56:44.000Z,844540.021484375,4013.97869886686
169,1902701009,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1770901.64770508,5323.06212209407
170,1901701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3561131.01611328,8004.59874883241
171,2005701006,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6981332.47290039,10571.3908108579
172,1905701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3518537.31005859,7950.29653518254
173,1901701002,Mineral Right,160,10,,,AANDREWS,2018-08-17T20:35:01.000Z,7097078.73120117,10657.358617544
174,1904701006,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7093708.5793457,10652.4729810147
175,1904701007,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6990498.67456055,10573.9270397109
176,1906701012,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1874294.83642578,5479.37191509997
177,1906701005,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3734850.4387207,8126.71599149659
178,2005701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1774076.59082031,5328.99497998518
