OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
476,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,6d15d806-605a-419c-a78a-d6a4010833af,3582.70776367188,311.582449507722
477,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,8544280e-c92f-47bd-973e-fa13f93606c5,14213.9370117188,2148.78691777039
478,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,dbfe6936-2064-41d7-9a51-dc2aae32f6ad,6448.74829101563,1098.5082387431
479,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,985a6f6b-5bcf-4375-8b90-d1d17cac7d68,5883.60595703125,813.427887462644
480,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,ec1f7125-dd21-4960-b0bd-f289e49e8957,8180.5927734375,1500.82619988913
481,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,76117c05-348a-4990-b96e-aa98c72d7db2,5719.04956054688,645.099681059033
482,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,1798a7ff-4622-4acc-98d4-3d2b2974548a,3605.72778320313,596.683879755096
483,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,f6ea3b54-bf7d-4feb-8f2b-f4461737fa00,2729.56079101563,468.700950930461
484,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,936d124b-268e-41e2-9e6c-bb0157a141c9,11254.3137207031,1933.77980269829
485,Unpaved,Existing,,,Sanborn,GISAdmin,2018-06-22T17:43:18.065Z,GISAdmin,2018-06-22T17:43:18.065Z,725f0ba1-8c8b-4a4b-89dc-445935e965ad,3163.767578125,560.866125103548
