OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
46,Public Right Of Way,,Public Right Of Way,13.74 a,,,AANDREWS,2018-07-13T19:57:01.000Z,598655.179931641,26773.5572991974
47,Public Right Of Way,,Public Right Of Way,7.087 a,,,AANDREWS,2018-07-13T19:57:01.000Z,308689.721923828,11737.7042589691
48,Public Right Of Way,,Public Right Of Way,2.183 a,,,AANDREWS,2018-07-13T19:57:01.000Z,95032.3430175781,5235.97216881576
49,Public Right Of Way,,Public Right Of Way,1.603 a,,,AANDREWS,2018-07-13T19:57:01.000Z,69779.8525390625,3660.74631866708
50,Public Right Of Way,,Public Right Of Way,17.59 a,,,AANDREWS,2018-07-13T19:57:01.000Z,766481.558349609,8566.69636568556
51,Public Right Of Way,,Public Right Of Way,0.8785 a,,,AANDREWS,2018-07-13T19:57:01.000Z,38267.6271972656,1632.99407700949
52,Public Right Of Way,,Public Right Of Way,0.0732 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3188.1728515625,272.792383111068
53,Public Right Of Way,,Public Right Of Way,0.0759 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3307.0361328125,280.684839359391
54,Public Right Of Way,,Public Right Of Way,0.2033 a,,,AANDREWS,2018-07-13T19:57:01.000Z,8857.021484375,415.33147003818
55,Public Right Of Way,,Public Right Of Way,2.412 a,,,AANDREWS,2018-07-13T19:57:01.000Z,105053.471923828,4603.52349817646
56,Public Right Of Way,,Public Right Of Way,1.898 a,,,AANDREWS,2018-07-13T19:57:01.000Z,82656.4760742188,3485.34254215366
57,Public Right Of Way,,Public Right Of Way,0.5611 a,,,AANDREWS,2018-07-13T19:57:01.000Z,24442.2268066406,1830.41520355132
58,Public Right Of Way,,Public Right Of Way,0.0637 a,,,AANDREWS,2018-07-13T19:57:01.000Z,2774.62866210938,294.58306005481
59,Public Right Of Way,,Public Right Of Way,2.355 a,,,AANDREWS,2018-07-13T19:57:01.000Z,102600.771484375,3549.60829635073
60,Public Right Of Way,,Public Right Of Way,1.156 a,,,AANDREWS,2018-07-13T19:57:01.000Z,50338.4436035156,3193.85315175486
61,Public Right Of Way,,Public Right Of Way,0.4193 a,,,AANDREWS,2018-07-13T19:57:01.000Z,18265.6076660156,768.596784368935
62,Public Right Of Way,,Public Right Of Way,7.874 a,,,AANDREWS,2018-07-13T19:57:01.000Z,342984.356933594,12733.3265571359
