OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
2582,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,0778f386-e88d-4817-81f4-a5e505fbbda9,8805.31762695313,690.220040083815
2583,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a2afdcd5-7b3b-48b0-8445-56a411ef344e,804.1962890625,116.591244747249
2584,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,d8210729-f2b8-4684-8e04-3d1fd00c4337,64333.4211425781,2725.45435424472
2585,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,e27db993-b131-49bf-b3ae-0da7e1580d8a,9446.74096679688,475.840763832938
2586,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,b445db35-c36b-490a-b984-8af741425e01,712.5439453125,111.308565787129
2587,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,3728a7f5-9b34-4042-a379-509219ef66ff,546.276611328125,98.8783696644827
2588,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ef50fd99-9730-425e-832a-edea8cbee0c5,685.32568359375,108.674960803344
2589,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,2586ee96-e7b7-485a-b837-a68aafe0b835,833.97900390625,122.233526282732
2590,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,7e1eb435-2ac9-485f-ba64-9b0c4071a78d,447.61865234375,85.1857336172088
2591,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,230d6da5-d001-438a-9a2c-fc71c490608b,54690.9643554688,3243.22637065148
2592,Paved,Existing,,2012-11-12T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,033c27e3-ccec-44ac-923b-4c583bd2a51d,11372.2353515625,849.774234280281
2593,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,2438ca31-6d7e-43df-87b3-90ec45a45481,13815.8403320313,935.44763571056
2594,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,cbf148ff-d61f-4baa-acff-564d05204c8d,871.1435546875,128.011230027941
2595,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,f20719d8-918f-41e5-ba64-49cc5c8dccf7,673.767578125,108.129076732351
2596,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,e765a95f-a9d2-4e1e-b57d-b38063826cb6,309.408447265625,75.363624247931
