X,Y,OBJECTID,SCHOOL,CITY_1,ST,address,ORIG_FID
2449484.122648172080517,1493048.154728427529335,108,Richwoods High School,Peoria,IL,6301 N University St,108
2426823.744412586092949,1469330.356691673398018,109,Norwood Elementary School,Peoria,IL,6521 W Farmington Rd,109
2434371.092834919691086,1446452.833221092820168,110,Oak Grove East Elementary School,Bartonville,IL,4812 W Pfeiffer Rd,110
2429440.117460671812296,1445919.538684010505676,111,Oak Grove West Elementary School,Bartonville,IL,6018 W Lancaster St,111
2459210.900110587477684,1481420.883691675961018,112,Peoria Christian Middle School,Peoria Heigh,IL,3725 N Monroe Av,112
2457057.976594921201468,1480063.973675839602947,113,Peoria Christian School,Peoria,IL,3506 N California Av,113
2438784.110255587846041,1460225.282382175326347,114,Pleasant Hill Elementary School,Peoria,IL,3717 W Malone St,114
2435188.623352088034153,1469665.458055593073368,115,Pleasant Valley School Main,Peoria,IL,4623 W Redbud Dr,115
2443311.116293419152498,1480169.246103093028069,116,Jamieson School,Peoria,IL,2721 W Richwoods Blvd,116
2450913.01086650416255,1464353.052341841161251,117,Rogys Learning Place - Johnson,Peoria,IL,1010 W Johnson,117
2450317.89755542203784,1467854.680837258696556,118,St Mark  School,Peoria,IL,711 N Underhill,118
2459231.819032002240419,1483449.927861928939819,119,St Thomas School,Peoria,IL,4229 N Monroe Av,119
2442606.693161588162184,1459178.07319051027298,120,Trewyn Middle School,Peoria,IL,1419 S Folkers Av,120
2446073.569758005440235,1461737.787887342274189,121,Tyng Primary School,Peoria,IL,2212 W Ann St,121
2450207.339705672115088,1477371.76055634021759,122,University United Methodst Church Nursery School,Peoria,IL,2818 N University,122
2448451.405881587415934,1467858.714621841907501,123,Whittier Primary School,Peoria,IL,1619 W Fredonia Av,123
2461151.728578004986048,1472678.858852922916412,124,Woodruff High School (Closed),Peoria,IL,1800 NE Perry Av,124
2451970.907372754067183,1501719.037977173924446,125,1 2 3 U'n Me Preschool,Peoria,IL,800 Detweiller Dr,125
2448819.226340170949697,1510703.464890174567699,126,Appletree Academy,Peoria,IL,1601 W Alta Rd,126
2456120.710752919316292,1469463.958786673843861,127,Methodist College of Nursing,Peoria,IL,415 NE St Mark Ct,127
2457148.435403503477573,1470005.815642595291138,128,Pals Pre School & Kindergarten - Greenleaf,Peoria,IL,700 NE Greenleaf St,128
2432016.682845588773489,1464813.387707263231277,129,Norwood Primary School,Bellevue,IL,200 Main St,129
2442643.68160467222333,1469292.013920590281487,130,Guardian Angel,Peoria,IL,2904 W Heading,130
2455492.20643250271678,1476665.566430673003197,131,Knoxville Center For Success,Peoria,IL,2628 N Knoxville Ave,131
2458557.717689920216799,1478918.485481262207031,132,Von Steuben,Peoria,IL,801 E Forrest Hill Ave,132
2449717.813453752547503,1491275.95518884062767,133,St Vincent de Paul School,Peoria,IL,6001 N University St,133
2449263.149336837232113,1513004.029842846095562,134,St Jude School,Peoria,IL,10811 N Knoxville Ave,134
2446869.872955419123173,1489716.435670092701912,135,Rolling Acres - Edison Junior Academy,Peoria,IL,5617 N Merrimac Dr,135
2437345.952698837965727,1489843.312384843826294,136,Daarul Uloom,Peoria,IL,4125 W Charter Oak Rd,136
2477782.738623004406691,1533281.579510763287544,137,Richland Christian School,Chillicothe,IL,5114 E Richland Ave,137
2481694.154684670269489,1545068.119257844984531,138,Calvary Baptist Academy,Chillicothe,IL,1028 W Cloverdale Rd,138
2396395.584140419960022,1423306.304054923355579,139,Illini Bluffs Jr/High School,Glasford,IL,9611 S Hanna City-Glasford Rd,901
2396059.051348920911551,1423284.731591507792473,140,Illini Bluffs Grade School,Glasford,IL,9611 S Hanna City-Glasford Rd,909
2347332.820061419159174,1466590.258169256150723,141,Farmington Central Elementary School,Farmington,IL,108 N Lightfoot Rd,920
2347373.297998838126659,1466239.449487678706646,142,Farmington Central  High School,Farmington,IL,300 N Lightfoot Rd,921
2347353.058866087347269,1466428.346419595181942,143,Farmington Central Junior High,Farmington,IL,310 N Lightfoot Rd,922
