OBJECTID,ENCUMID,SRCREF,ENCUMTYPE,STATEDAREA,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
46,1713102002,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.99731445313,199.999891338187
47,1712377006,,Lease,0.138,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5999.99560546875,319.999512881821
48,1809410005,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5999.08959960938,343.851633709416
49,1808428039,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.7763671875,199.991283593319
50,1710301005,,Lease,0.04,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1764.00610351563,168.000298749674
51,1711301027,,Lease,0.1194 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5199.99609375,289.99990216791
52,1809426006,,Lease,1.9,,,,,AANDREWS,2018-07-13T19:57:03.000Z,80879.3059082031,1438.98114354813
53,1807279029,,Lease,0.0069 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,300.002685546875,69.9999976525634
54,1709200017,,Lease,0.1033 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4499.84033203125,270.000083199757
55,1711151013,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2497.49829101563,198.718287596034
56,1711151012,,Lease,0.065,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2849.853515625,225.992589639347
57,1711101017,,Lease,0.107,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4649.77612304688,273.992825933589
58,1712228027,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,9999.85107421875,399.997028441492
59,1609100009,,Lease,0.2311 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10065.4938964844,401.309861021423
60,1609100008,,Lease,0.2296 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.0200195313,400.000394336879
61,1709200006,,Lease,105.94,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4631967.84204102,10706.7731359163
62,1710100010,,Lease,15.35,,,,,AANDREWS,2018-07-13T19:57:03.000Z,662433.743652344,3523.63919332665
63,1704476011,,Lease,8.32,,,,,AANDREWS,2018-07-13T19:57:03.000Z,364278.961669922,5458.39742058539
64,1609226006,,Lease,0.055,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2400.0166015625,200.000701539896
65,1702376025,,Lease,0.066,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2865.1435546875,219.827952794869
66,1804376062,,Lease,1.909,,,,,AANDREWS,2018-07-13T19:57:03.000Z,79522.23828125,1221.49577051153
67,1804376063,,Lease,3.712,,,,,AANDREWS,2018-07-13T19:57:03.000Z,160227.79296875,1660.49238694633
68,1804403009,,Lease,0.297,,,,,AANDREWS,2018-07-13T19:57:03.000Z,14563.482421875,481.312496343042
69,1806155016,,Lease,0.112,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4904.15161132813,281.102416063444
70,1803226008,,Lease,0.0574 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.98608398438,199.999452920192
71,1434477026,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,12005.1645507813,460.715041554106
72,1334451012,,Lease,0.229,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.3442382813,400.006879689228
73,1335300020,,Lease,0.16,,,,,AANDREWS,2018-07-13T19:57:03.000Z,7138.5751953125,344.599121920296
74,1334200016,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.82446289063,199.994058718572
75,1432180026,,Lease,0.034,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1500.00756835938,160.000312035596
76,1432153021,,Lease,0.0056 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,247.775634765625,83.7887172987012
77,1432153022,,Lease,0.0502 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2188.77490234375,215.439819748678
78,1325457011,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2500.00561523438,200.00021801651
79,1430378029,,Lease,0.264,,,,,AANDREWS,2018-07-13T19:57:03.000Z,11515.4985351563,503.847329156065
80,1430378028,,Lease,0.5,,,,,AANDREWS,2018-07-13T19:57:03.000Z,21790.1384277344,595.21046427469
81,1426379001,,Lease,0.083,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3609.3388671875,240.312061153449
