OBJECTID,stormdate,startlat,startlon,endlat,endlon,length,width,injuries,fatalities,efscale,maxwind
1,2016-03-16T00:00:00.000Z,40.7132,-89.9148,40.7593,-89.7839,7.6,440,0,0,EF2,125
2,2016-03-16T00:00:00.000Z,40.7303,-89.6494,40.7602,-89.5908,3.83,200,0,0,EF0,80
