OBJECTID,Section,Shape__Area,Shape__Length
504,35,28265668.4567871,21278.2653585451
505,33,28079822.3718262,21195.1228955442
506,32,28176715.0432129,21206.6225497879
507,34,28329990.7663574,21287.8503513669
508,34,28185140.7753906,21268.6130758114
509,35,28233697.4916992,21305.1006723736
510,36,28552056.1582031,21337.5348452294
511,33,28119305.9836426,21225.353590421
512,34,28457178.5690918,21326.2376756963
513,32,21405274.310791,19812.7328358506
514,33,76654.1809082031,1233.41815574657
515,31,28797461.9389648,21472.0311820452
516,32,28292308.0947266,21270.0728350034
517,35,28453191.2180176,21360.5827933904
518,36,28203302.6625977,21234.8844529353
519,31,28663755.3186035,21406.218120224
520,27,28569284.3637695,21382.9784759526
521,30,27995636.0876465,21159.3119004383
522,26,28645478.5397949,21428.7221557545
523,25,28597824.097168,21395.7528761305
524,29,27995290.5393066,21180.1416869591
525,25,27857527.2553711,21108.560025036
526,28,27820992.0649414,21113.3647696152
527,29,27680425.8691406,21064.0823236891
528,30,27356847.5332031,20919.2826756716
529,28,27727512.7092285,21056.3388104987
530,25,28035930.7058105,21222.1465222512
531,28,28222497.8925781,21263.2969257153
532,30,28021782.6987305,21169.2289160424
533,27,28064141.1660156,21206.3658929372
534,26,28466687.8498535,21293.1710990668
535,27,28636032.1403809,21393.0661928416
536,29,28062494.6977539,21190.9593381482
537,26,28628887.3369141,21402.2927783221
538,30,28976977.8591309,21541.6271110008
539,29,28396753.572998,21318.3398308109
540,28,28355571.760498,21287.3599522184
541,27,28478072.828125,21359.3420680192
542,30,28458433.7438965,21333.5031288267
543,26,28486180.177002,21359.0803412772
544,25,28072745.3115234,21159.0290050543
545,29,28159870.9707031,21229.9236327692
546,28,9938168.94482422,15411.7625128099
547,19,27849651.7058105,21119.0685130164
548,24,28465325.2021484,21330.4209163477
549,23,28941026.328125,21526.4288105926
550,20,28185273.2785645,21239.3862983738
551,22,28781090.8999023,21460.9034476485
552,24,27743364.2243652,21059.9114608066
553,21,28038813.8466797,21197.8476980212
554,21,28335014.470459,21283.1144714146
555,24,27996350.6748047,21180.3466815513
556,21,28139416.0932617,21139.387607049
557,22,28712901.3977051,21439.4468082903
558,23,28229955.4758301,21260.7094146663
559,22,27715265.0551758,21097.1966657719
560,20,27478097.4291992,20977.449747197
561,19,28339501.2585449,21289.0997724205
562,19,27719860.5058594,21036.0726681781
563,23,28593450.1745605,21389.6019024325
564,20,27865519.8730469,21110.2569894303
565,24,28166591.7624512,21235.0251587093
566,19,28465558.5620117,21340.4787882882
567,21,28248788.6379395,21279.5072974753
568,23,28568409.0639648,21389.9072510799
569,19,29057669.2346191,21562.7721245312
570,20,28457288.380127,21332.0098640362
571,22,28528175.0175781,21361.9994274651
572,20,28338850.3864746,21274.9313495569
573,21,23230645.3227539,20162.8540456878
574,22,1721818.48535156,5963.86642029747
575,18,27958758.576416,21132.1964420081
576,13,28440607.7648926,21351.7579983988
577,14,29013591.6196289,21545.33491602
578,17,28328604.5666504,21276.317239819
579,13,27785937.1625977,21063.1874110713
580,15,28609949.6633301,21386.743172573
581,16,28602182.5305176,21348.5266027867
582,16,27630653.8510742,21114.0791315907
583,18,27999013.6264648,21155.754840341
584,15,28631874.5253906,21446.0465552735
585,14,28380736.6716309,21326.5726424882
586,15,27795527.5136719,21050.3266123742
587,16,28224285.453125,21258.9367441288
588,14,28474016.4304199,21345.5712857137
589,13,27775117.4619141,21091.5936955547
590,17,27480267.3415527,20995.2430627526
591,17,27160090.0327148,20864.1796960238
592,18,27468804.6413574,21008.1492250483
593,18,28883979.6618652,21469.1470879408
594,17,28159769.0517578,21215.2959670837
595,17,28036014.2651367,21184.3917092926
596,18,28265404.979248,21251.8652278206
597,14,28689101.2893066,21430.3133633008
598,16,27937327.3190918,21142.3779864948
599,15,15357054.5683594,15979.7192960225
600,16,28279059.4123535,21265.8552302605
601,15,28665210.7124023,21427.3394061095
602,13,28638815.8061523,21433.8952123556
603,7,28038195.2434082,21185.0335365239
604,8,28298104.9172363,21291.8593260706
605,11,29067521.8583984,21551.4569533466
606,12,28642854.3745117,21381.1896203768
607,9,28300367.2805176,21267.4542911273
608,10,27674740.1418457,21061.3524565854
609,9,27809287.5095215,21099.9092698562
610,10,28694159.9645996,21446.8005814139
611,11,28575823.4648438,21403.7226321594
612,12,27867289.0178223,21101.3351011319
613,7,28363271.8059082,21308.1902722314
614,10,28567194.776123,21400.8927895996
615,11,28242688.4633789,21249.1999132286
616,12,28065098.9157715,21195.1280944844
617,8,27402510.5471191,20962.9358719358
618,8,28169922.6257324,21221.8039067127
619,9,27811710.3620605,21089.9825551607
620,8,27196824.6606445,20857.9836460438
621,9,28370292.8500977,21313.1155019863
622,8,28058368.0498047,21208.0734638382
623,10,20857300.8554688,19192.6619421325
624,7,27339646.8996582,20925.1038213636
625,11,28634124.28125,21427.3276383783
626,7,28306642.5852051,21281.3939366414
627,7,29408049.3295898,21644.0706359667
628,9,28306501.8569336,21257.8858027883
629,10,28577285.9243164,21378.9171248458
630,12,27634144.7719727,21044.9846915982
631,6,28336601.0703125,21289.6560316718
632,5,28366958.8557129,21310.2081767521
633,4,28383408.8596191,21328.9939414316
634,3,28349574.0571289,21288.4575896282
635,6,27463794.9736328,21046.8613211787
636,4,27223304.3134766,20862.0414641886
637,3,27668224.0305176,21036.1464128398
638,5,26870347.7006836,20719.7323414276
639,2,28116136.3405762,21199.2446768111
640,1,27640564.4287109,21032.1523477057
641,6,27336513.036377,20923.5365020558
642,5,27423612.6298828,20987.0825326006
643,2,27992793.855957,21173.5938757734
644,1,27822092.4233398,21104.0757265005
645,1,28494246.0112305,21378.9132421296
646,6,28074363.3378906,21185.7605364823
647,2,28685345.9853516,21418.7322147296
648,4,28008964.2248535,21166.9844869673
649,3,29151630.107666,21583.2130778435
650,5,28061981.4125977,21184.4138499552
651,3,28014075.0004883,21166.2397635142
652,4,28188417.5026855,21258.0831023307
653,4,27997711.5754395,21122.0661021438
654,2,28947933.1945801,21527.1561798581
655,5,27600543.2805176,20989.5250783496
656,1,28225604.9926758,21260.5290342488
657,6,27379642.8466797,21028.9527577152
658,3,26545305.1486816,20966.5338518762
